LCLid,cluster,Acorn,Acorn_grouped,stdorToU
MAC000492,2,ACORN-I,Comfortable,Std
MAC000493,2,ACORN-M,Adversity,Std
MAC000494,2,ACORN-F,Comfortable,ToU
MAC000495,2,ACORN-E,Affluent,Std
MAC000496,2,ACORN-E,Affluent,Std
MAC000497,1,ACORN-E,Affluent,ToU
MAC000498,1,ACORN-H,Comfortable,Std
MAC000499,2,ACORN-E,Affluent,Std
MAC000500,2,ACORN-E,Affluent,ToU
MAC000501,2,ACORN-F,Comfortable,Std
MAC000502,2,ACORN-F,Comfortable,Std
MAC000503,2,ACORN-D,Affluent,Std
MAC000504,2,ACORN-E,Affluent,Std
MAC000505,2,ACORN-E,Affluent,Std
MAC000506,1,ACORN-E,Affluent,Std
MAC000507,2,ACORN-Q,Adversity,Std
MAC000508,1,ACORN-E,Affluent,Std
MAC000509,2,ACORN-E,Affluent,Std
MAC000510,2,ACORN-Q,Adversity,Std
MAC000511,1,ACORN-Q,Adversity,Std
MAC000512,0,ACORN-J,Comfortable,ToU
MAC000513,2,ACORN-Q,Adversity,Std
MAC000514,2,ACORN-O,Adversity,Std
MAC000515,2,ACORN-K,Adversity,Std
MAC000516,2,ACORN-E,Affluent,Std
MAC000517,2,ACORN-C,Affluent,Std
MAC000518,2,ACORN-E,Affluent,Std
MAC000519,1,ACORN-G,Comfortable,Std
MAC000520,2,ACORN-J,Comfortable,Std
MAC000521,2,ACORN-E,Affluent,ToU
MAC000522,1,ACORN-D,Affluent,Std
MAC000523,1,ACORN-E,Affluent,ToU
MAC000524,1,ACORN-G,Comfortable,Std
MAC000525,1,ACORN-E,Affluent,ToU
MAC000526,1,ACORN-E,Affluent,Std
MAC000527,1,ACORN-Q,Adversity,Std
MAC000528,1,ACORN-O,Adversity,Std
MAC000529,2,ACORN-Q,Adversity,ToU
MAC000530,1,ACORN-F,Comfortable,Std
MAC000531,2,ACORN-D,Affluent,Std
MAC000532,2,ACORN-K,Adversity,Std
MAC000533,2,ACORN-H,Comfortable,Std
MAC000534,2,ACORN-Q,Adversity,Std
MAC000535,0,ACORN-A,Affluent,Std
MAC000536,1,ACORN-F,Comfortable,Std
MAC000537,2,ACORN-K,Adversity,ToU
MAC000538,2,ACORN-E,Affluent,Std
MAC000539,2,ACORN-F,Comfortable,Std
MAC000540,1,ACORN-E,Affluent,Std
MAC000541,2,ACORN-Q,Adversity,Std
MAC000542,2,ACORN-Q,Adversity,Std
MAC000543,2,ACORN-Q,Adversity,Std
MAC000544,2,ACORN-E,Affluent,ToU
MAC000545,2,ACORN-C,Affluent,Std
MAC000546,1,ACORN-E,Affluent,Std
MAC000547,0,ACORN-H,Comfortable,Std
MAC000548,1,ACORN-L,Adversity,Std
MAC000549,2,ACORN-Q,Adversity,ToU
MAC000550,1,ACORN-F,Comfortable,Std
MAC000551,2,ACORN-D,Affluent,Std
MAC000552,2,ACORN-K,Adversity,Std
MAC000553,2,ACORN-F,Comfortable,Std
MAC000554,2,ACORN-H,Comfortable,Std
MAC000555,1,ACORN-P,Adversity,Std
MAC000556,2,ACORN-Q,Adversity,Std
MAC000557,0,ACORN-A,Affluent,Std
MAC000558,2,ACORN-Q,Adversity,Std
MAC000559,2,ACORN-L,Adversity,Std
MAC000560,2,ACORN-Q,Adversity,Std
MAC000561,2,ACORN-E,Affluent,ToU
MAC000562,2,ACORN-E,Affluent,Std
MAC000563,2,ACORN-F,Comfortable,Std
MAC000564,1,ACORN-E,Affluent,Std
MAC000565,2,ACORN-P,Adversity,ToU
MAC000566,1,ACORN-K,Adversity,Std
MAC000567,2,ACORN-E,Affluent,Std
MAC000568,2,ACORN-L,Adversity,Std
MAC000569,0,ACORN-A,Affluent,Std
MAC000570,2,ACORN-P,Adversity,Std
MAC000571,2,ACORN-Q,Adversity,Std
MAC000572,2,ACORN-D,Affluent,Std
MAC000573,1,ACORN-L,Adversity,Std
MAC000574,2,ACORN-K,Adversity,Std
MAC000575,2,ACORN-Q,Adversity,Std
MAC000576,1,ACORN-Q,Adversity,Std
MAC000577,1,ACORN-E,Affluent,Std
MAC000578,2,ACORN-H,Comfortable,Std
MAC000579,2,ACORN-Q,Adversity,Std
MAC000580,1,ACORN-Q,Adversity,Std
MAC000581,2,ACORN-N,Adversity,Std
MAC000582,1,ACORN-K,Adversity,ToU
MAC000583,2,ACORN-Q,Adversity,ToU
MAC000584,2,ACORN-J,Comfortable,ToU
MAC000585,2,ACORN-Q,Adversity,Std
MAC000586,2,ACORN-F,Comfortable,ToU
MAC000587,2,ACORN-O,Adversity,ToU
MAC000588,2,ACORN-H,Comfortable,Std
MAC000589,2,ACORN-H,Comfortable,Std
MAC000590,2,ACORN-L,Adversity,ToU
MAC000591,2,ACORN-F,Comfortable,Std
MAC000592,2,ACORN-L,Adversity,Std
MAC000593,2,ACORN-A,Affluent,ToU
MAC000594,2,ACORN-F,Comfortable,Std
MAC000595,1,ACORN-G,Comfortable,ToU
MAC000596,0,ACORN-E,Affluent,Std
MAC000597,2,ACORN-P,Adversity,Std
MAC000598,2,ACORN-C,Affluent,ToU
MAC000599,2,ACORN-Q,Adversity,Std
MAC000600,1,ACORN-E,Affluent,Std
MAC000601,2,ACORN-K,Adversity,Std
MAC000602,2,ACORN-E,Affluent,Std
MAC000603,2,ACORN-E,Affluent,Std
MAC000604,1,ACORN-O,Adversity,Std
MAC000605,2,ACORN-F,Comfortable,ToU
MAC000606,2,ACORN-B,Affluent,Std
MAC000607,2,ACORN-L,Adversity,Std
MAC000608,2,ACORN-L,Adversity,Std
MAC000609,2,ACORN-A,Affluent,ToU
MAC000610,1,ACORN-E,Affluent,Std
MAC000611,2,ACORN-H,Comfortable,ToU
MAC000612,1,ACORN-E,Affluent,Std
MAC000613,2,ACORN-F,Comfortable,Std
MAC000614,1,ACORN-H,Comfortable,Std
MAC000615,2,ACORN-Q,Adversity,Std
MAC000616,2,ACORN-Q,Adversity,Std
MAC000617,2,ACORN-P,Adversity,ToU
MAC000618,2,ACORN-E,Affluent,Std
MAC000619,2,ACORN-D,Affluent,Std
MAC000620,2,ACORN-J,Comfortable,ToU
MAC000621,1,ACORN-K,Adversity,Std
MAC000622,2,ACORN-Q,Adversity,Std
MAC000623,2,ACORN-K,Adversity,Std
MAC000624,2,ACORN-E,Affluent,Std
MAC000625,1,ACORN-E,Affluent,Std
MAC000626,2,ACORN-O,Adversity,Std
MAC000627,2,ACORN-Q,Adversity,Std
MAC000628,1,ACORN-E,Affluent,ToU
MAC000629,1,ACORN-L,Adversity,Std
MAC000630,1,ACORN-C,Affluent,Std
MAC000631,2,ACORN-E,Affluent,Std
MAC000632,1,ACORN-D,Affluent,Std
MAC000633,1,ACORN-E,Affluent,ToU
MAC000634,2,ACORN-F,Comfortable,Std
MAC000635,1,ACORN-Q,Adversity,ToU
MAC000636,2,ACORN-E,Affluent,Std
MAC000637,2,ACORN-E,Affluent,Std
MAC000638,2,ACORN-H,Comfortable,Std
MAC000639,2,ACORN-E,Affluent,Std
MAC000640,2,ACORN-E,Affluent,ToU
MAC000641,0,ACORN-Q,Adversity,ToU
MAC000642,1,ACORN-F,Comfortable,Std
MAC000643,1,ACORN-F,Comfortable,Std
MAC000644,1,ACORN-L,Adversity,Std
MAC000645,2,ACORN-P,Adversity,Std
MAC000646,2,ACORN-E,Affluent,Std
